algo,metric,value
rsa-3072,key-size,3072
rsa-3072,keygen-iters,200
rsa-3072,keygen-wall-median-ns,104037260.0
rsa-3072,keygen-wall-mean-ns,120858773.1
rsa-3072,keygen-wall-std-ns,79149040.5
rsa-3072,keygen-wall-p95-ns,280920874.0
rsa-3072,keygen-wall-p99-ns,350787021.0
rsa-3072,keygen-wall-ci95lo-ns,109889275.7
rsa-3072,keygen-wall-ci95hi-ns,131828270.5
rsa-3072,keygen-cyc-median,279652078.0
rsa-3072,keygen-cyc-mean,324868294.4
rsa-3072,keygen-persec,9.6
rsa-3072,pss-sign-iters,2000
rsa-3072,pss-sign-wall-median-ns,1326846.0
rsa-3072,pss-sign-wall-mean-ns,1339203.9
rsa-3072,pss-sign-wall-std-ns,65740.5
rsa-3072,pss-sign-wall-p95-ns,1336003.0
rsa-3072,pss-sign-wall-p99-ns,1705797.0
rsa-3072,pss-sign-wall-ci95lo-ns,1336322.7
rsa-3072,pss-sign-wall-ci95hi-ns,1342085.1
rsa-3072,pss-sign-cyc-median,3566496.0
rsa-3072,pss-sign-cyc-mean,3599716.2
rsa-3072,pss-sign-persec,753.7
rsa-3072,pss-verify-iters,2000
rsa-3072,pss-verify-wall-median-ns,29089.0
rsa-3072,pss-verify-wall-mean-ns,29132.2
rsa-3072,pss-verify-wall-std-ns,252.2
rsa-3072,pss-verify-wall-p95-ns,29291.0
rsa-3072,pss-verify-wall-p99-ns,30359.0
rsa-3072,pss-verify-wall-ci95lo-ns,29121.2
rsa-3072,pss-verify-wall-ci95hi-ns,29143.3
rsa-3072,pss-verify-cyc-median,78136.0
rsa-3072,pss-verify-cyc-mean,78252.3
rsa-3072,pss-verify-persec,34377.3
rsa-3072,oaep-encrypt-iters,2000
rsa-3072,oaep-encrypt-wall-median-ns,29621.0
rsa-3072,oaep-encrypt-wall-mean-ns,29660.2
rsa-3072,oaep-encrypt-wall-std-ns,276.9
rsa-3072,oaep-encrypt-wall-p95-ns,29831.0
rsa-3072,oaep-encrypt-wall-p99-ns,30811.0
rsa-3072,oaep-encrypt-wall-ci95lo-ns,29648.1
rsa-3072,oaep-encrypt-wall-ci95hi-ns,29672.4
rsa-3072,oaep-encrypt-cyc-median,79566.0
rsa-3072,oaep-encrypt-cyc-mean,79671.6
rsa-3072,oaep-encrypt-persec,33759.8
rsa-3072,oaep-decrypt-iters,2000
rsa-3072,oaep-decrypt-wall-median-ns,1328843.0
rsa-3072,oaep-decrypt-wall-mean-ns,1340987.8
rsa-3072,oaep-decrypt-wall-std-ns,66162.6
rsa-3072,oaep-decrypt-wall-p95-ns,1335669.0
rsa-3072,oaep-decrypt-wall-p99-ns,1708014.0
rsa-3072,oaep-decrypt-wall-ci95lo-ns,1338088.1
rsa-3072,oaep-decrypt-wall-ci95hi-ns,1343887.5
rsa-3072,oaep-decrypt-cyc-median,3571854.0
rsa-3072,oaep-decrypt-cyc-mean,3604510.6
rsa-3072,oaep-decrypt-persec,752.5
rsa-3072,size-key-bits,3072
rsa-3072,size-signature-bytes,384
ecdsa-P-256,keygen-iters,200
ecdsa-P-256,keygen-wall-median-ns,25108.0
ecdsa-P-256,keygen-wall-mean-ns,23530.1
ecdsa-P-256,keygen-wall-std-ns,5783.6
ecdsa-P-256,keygen-wall-p95-ns,27371.0
ecdsa-P-256,keygen-wall-p99-ns,33665.0
ecdsa-P-256,keygen-wall-ci95lo-ns,22728.5
ecdsa-P-256,keygen-wall-ci95hi-ns,24331.6
ecdsa-P-256,keygen-cyc-median,67202.0
ecdsa-P-256,keygen-cyc-mean,63004.7
ecdsa-P-256,keygen-persec,39827.9
ecdsa-P-256,sign-iters,2000
ecdsa-P-256,sign-wall-median-ns,16595.0
