algo,metric,value
rsa-3072,key-size,3072
rsa-3072,keygen-iters,1000
rsa-3072,keygen-wall-median-ns,1287779499.0
rsa-3072,keygen-wall-mean-ns,1529634795.2
rsa-3072,keygen-wall-std-ns,998370987.4
rsa-3072,keygen-wall-p95-ns,3506868813.0
rsa-3072,keygen-wall-p99-ns,4924967571.0
rsa-3072,keygen-wall-ci95lo-ns,1467755120.3
rsa-3072,keygen-wall-ci95hi-ns,1591514470.1
rsa-3072,keygen-cyc-median,69540086.0
rsa-3072,keygen-cyc-mean,82600269.1
rsa-3072,keygen-persec,0.8
rsa-3072,pss-sign-iters,2000
rsa-3072,pss-sign-wall-median-ns,18371593.0
rsa-3072,pss-sign-wall-mean-ns,18480784.5
rsa-3072,pss-sign-wall-std-ns,588814.1
rsa-3072,pss-sign-wall-p95-ns,18437908.0
rsa-3072,pss-sign-wall-p99-ns,21751111.0
rsa-3072,pss-sign-wall-ci95lo-ns,18454978.6
rsa-3072,pss-sign-wall-ci95hi-ns,18506590.4
rsa-3072,pss-sign-cyc-median,992056.0
rsa-3072,pss-sign-cyc-mean,997952.8
rsa-3072,pss-sign-persec,54.4
rsa-3072,pss-verify-iters,2000
rsa-3072,pss-verify-wall-median-ns,334630.0
rsa-3072,pss-verify-wall-mean-ns,335527.5
rsa-3072,pss-verify-wall-std-ns,3429.4
rsa-3072,pss-verify-wall-p95-ns,343852.0
rsa-3072,pss-verify-wall-p99-ns,344870.0
rsa-3072,pss-verify-wall-ci95lo-ns,335377.2
rsa-3072,pss-verify-wall-ci95hi-ns,335677.8
rsa-3072,pss-verify-cyc-median,18065.0
rsa-3072,pss-verify-cyc-mean,18113.0
rsa-3072,pss-verify-persec,2988.4
rsa-3072,oaep-encrypt-iters,2000
rsa-3072,oaep-encrypt-wall-median-ns,347000.0
rsa-3072,oaep-encrypt-wall-mean-ns,348031.3
rsa-3072,oaep-encrypt-wall-std-ns,3546.8
rsa-3072,oaep-encrypt-wall-p95-ns,356111.0
rsa-3072,oaep-encrypt-wall-p99-ns,357019.0
rsa-3072,oaep-encrypt-wall-ci95lo-ns,347875.8
rsa-3072,oaep-encrypt-wall-ci95hi-ns,348186.7
rsa-3072,oaep-encrypt-cyc-median,18731.0
rsa-3072,oaep-encrypt-cyc-mean,18786.4
rsa-3072,oaep-encrypt-persec,2881.8
rsa-3072,oaep-decrypt-iters,2000
rsa-3072,oaep-decrypt-wall-median-ns,18364759.0
rsa-3072,oaep-decrypt-wall-mean-ns,18474593.3
rsa-3072,oaep-decrypt-wall-std-ns,588667.0
rsa-3072,oaep-decrypt-wall-p95-ns,18436852.0
rsa-3072,oaep-decrypt-wall-p99-ns,21751630.0
rsa-3072,oaep-decrypt-wall-ci95lo-ns,18448793.9
rsa-3072,oaep-decrypt-wall-ci95hi-ns,18500392.8
rsa-3072,oaep-decrypt-cyc-median,991689.0
rsa-3072,oaep-decrypt-cyc-mean,997620.2
rsa-3072,oaep-decrypt-persec,54.5
rsa-3072,size-key-bits,3072
rsa-3072,size-signature-bytes,384
ecdsa-P-256,keygen-iters,1000
ecdsa-P-256,keygen-wall-median-ns,93111.0
ecdsa-P-256,keygen-wall-mean-ns,93736.3
ecdsa-P-256,keygen-wall-std-ns,4766.8
ecdsa-P-256,keygen-wall-p95-ns,94111.0
ecdsa-P-256,keygen-wall-p99-ns,106333.0
ecdsa-P-256,keygen-wall-ci95lo-ns,93440.8
ecdsa-P-256,keygen-wall-ci95hi-ns,94031.7
ecdsa-P-256,keygen-cyc-median,5020.0
ecdsa-P-256,keygen-cyc-mean,5053.3
ecdsa-P-256,keygen-persec,10739.9
ecdsa-P-256,sign-iters,2000
ecdsa-P-256,sign-wall-median-ns,118259.0
ecdsa-P-256,sign-wall-mean-ns,118592.3
ecdsa-P-256,sign-wall-std-ns,1772.5
ecdsa-P-256,sign-wall-p95-ns,119166.0
ecdsa-P-256,sign-wall-p99-ns,128352.0
ecdsa-P-256,sign-wall-ci95lo-ns,118514.6
ecdsa-P-256,sign-wall-ci95hi-ns,118670.0
ecdsa-P-256,sign-cyc-median,6377.0
ecdsa-P-256,sign-cyc-mean,6395.6
ecdsa-P-256,sign-persec,8456.0
ecdsa-P-256,verify-iters,2000
ecdsa-P-256,verify-wall-median-ns,345944.0
ecdsa-P-256,verify-wall-mean-ns,349512.3
ecdsa-P-256,verify-wall-std-ns,16742.5
ecdsa-P-256,verify-wall-p95-ns,356000.0
ecdsa-P-256,verify-wall-p99-ns,436204.0
ecdsa-P-256,verify-wall-ci95lo-ns,348778.5
ecdsa-P-256,verify-wall-ci95hi-ns,350246.1
ecdsa-P-256,verify-cyc-median,18673.0
ecdsa-P-256,verify-cyc-mean,18865.8
ecdsa-P-256,verify-persec,2890.6
ecdsa-P-256,size-key-bits,256
ecdsa-P-256,size-pubkey-bytes,65
ecdsa-P-256,size-signature-max-bytes,72
ecdsa-P-384,keygen-iters,1000
ecdsa-P-384,keygen-wall-median-ns,4022370.0
ecdsa-P-384,keygen-wall-mean-ns,4071894.5
ecdsa-P-384,keygen-wall-std-ns,265723.1
ecdsa-P-384,keygen-wall-p95-ns,4183593.0
ecdsa-P-384,keygen-wall-p99-ns,6038741.0
ecdsa-P-384,keygen-wall-ci95lo-ns,4055424.8
ecdsa-P-384,keygen-wall-ci95hi-ns,4088364.2
ecdsa-P-384,keygen-cyc-median,217200.0
ecdsa-P-384,keygen-cyc-mean,219874.3
ecdsa-P-384,keygen-persec,248.6
ecdsa-P-384,sign-iters,2000
ecdsa-P-384,sign-wall-median-ns,4183055.0
ecdsa-P-384,sign-wall-mean-ns,4194671.1
ecdsa-P-384,sign-wall-std-ns,65917.1
ecdsa-P-384,sign-wall-p95-ns,4201686.0
ecdsa-P-384,sign-wall-p99-ns,4532149.0
ecdsa-P-384,sign-wall-ci95lo-ns,4191782.2
ecdsa-P-384,sign-wall-ci95hi-ns,4197560.1
ecdsa-P-384,sign-cyc-median,225876.0
ecdsa-P-384,sign-cyc-mean,226503.3
ecdsa-P-384,sign-persec,239.1
ecdsa-P-384,verify-iters,2000
ecdsa-P-384,verify-wall-median-ns,3313185.0
ecdsa-P-384,verify-wall-mean-ns,3321697.4
ecdsa-P-384,verify-wall-std-ns,57542.5
ecdsa-P-384,verify-wall-p95-ns,3333186.0
ecdsa-P-384,verify-wall-p99-ns,3664130.0
ecdsa-P-384,verify-wall-ci95lo-ns,3319175.5
ecdsa-P-384,verify-wall-ci95hi-ns,3324219.3
ecdsa-P-384,verify-cyc-median,178903.0
ecdsa-P-384,verify-cyc-mean,179363.8
ecdsa-P-384,verify-persec,301.8
ecdsa-P-384,size-key-bits,384
ecdsa-P-384,size-pubkey-bytes,97
ecdsa-P-384,size-signature-max-bytes,104
ecdsa-P-521,keygen-iters,1000
ecdsa-P-521,keygen-wall-median-ns,10418611.0
ecdsa-P-521,keygen-wall-mean-ns,10430726.3
ecdsa-P-521,keygen-wall-std-ns,41582.1
ecdsa-P-521,keygen-wall-p95-ns,10498259.0
ecdsa-P-521,keygen-wall-p99-ns,10612111.0
ecdsa-P-521,keygen-wall-ci95lo-ns,10428149.1
ecdsa-P-521,keygen-wall-ci95hi-ns,10433303.6
ecdsa-P-521,keygen-cyc-median,562597.0
ecdsa-P-521,keygen-cyc-mean,563251.1
ecdsa-P-521,keygen-persec,96.0
ecdsa-P-521,sign-iters,2000
ecdsa-P-521,sign-wall-median-ns,11018814.0
ecdsa-P-521,sign-wall-mean-ns,11026208.6
ecdsa-P-521,sign-wall-std-ns,32472.5
ecdsa-P-521,sign-wall-p95-ns,11057963.0
ecdsa-P-521,sign-wall-p99-ns,11192778.0
ecdsa-P-521,sign-wall-ci95lo-ns,11024785.5
ecdsa-P-521,sign-wall-ci95hi-ns,11027631.8
ecdsa-P-521,sign-cyc-median,595006.0
ecdsa-P-521,sign-cyc-mean,595405.7
ecdsa-P-521,sign-persec,90.8
ecdsa-P-521,verify-iters,2000
ecdsa-P-521,verify-wall-median-ns,8295407.0
ecdsa-P-521,verify-wall-mean-ns,8297679.0
ecdsa-P-521,verify-wall-std-ns,13597.9
ecdsa-P-521,verify-wall-p95-ns,8327574.0
ecdsa-P-521,verify-wall-p99-ns,8342907.0
ecdsa-P-521,verify-wall-ci95lo-ns,8297083.1
ecdsa-P-521,verify-wall-ci95hi-ns,8298275.0
ecdsa-P-521,verify-cyc-median,447942.0
ecdsa-P-521,verify-cyc-mean,448064.8
ecdsa-P-521,verify-persec,120.5
ecdsa-P-521,size-key-bits,521
ecdsa-P-521,size-pubkey-bytes,133
ecdsa-P-521,size-signature-max-bytes,139
ecdh-P-256,keygen-iters,1000
ecdh-P-256,keygen-wall-median-ns,93019.0
ecdh-P-256,keygen-wall-mean-ns,93439.3
ecdh-P-256,keygen-wall-std-ns,2838.8
ecdh-P-256,keygen-wall-p95-ns,93963.0
ecdh-P-256,keygen-wall-p99-ns,105000.0
ecdh-P-256,keygen-wall-ci95lo-ns,93263.3
ecdh-P-256,keygen-wall-ci95hi-ns,93615.2
ecdh-P-256,keygen-cyc-median,5016.0
ecdh-P-256,keygen-cyc-mean,5038.1
ecdh-P-256,keygen-persec,10750.5
ecdh-P-256,derive-iters,2000
ecdh-P-256,derive-wall-median-ns,262612.0
ecdh-P-256,derive-wall-mean-ns,263269.5
ecdh-P-256,derive-wall-std-ns,3368.6
ecdh-P-256,derive-wall-p95-ns,270722.0
ecdh-P-256,derive-wall-p99-ns,271815.0
ecdh-P-256,derive-wall-ci95lo-ns,263121.9
ecdh-P-256,derive-wall-ci95hi-ns,263417.2
ecdh-P-256,derive-cyc-median,14177.0
ecdh-P-256,derive-cyc-mean,14212.2
ecdh-P-256,derive-persec,3807.9
ecdh-P-256,size-key-bits,256
ecdh-P-256,size-pubkey-bytes,65
ecdh-P-384,keygen-iters,1000
ecdh-P-384,keygen-wall-median-ns,4018815.0
ecdh-P-384,keygen-wall-mean-ns,4021410.1
ecdh-P-384,keygen-wall-std-ns,10220.4
ecdh-P-384,keygen-wall-p95-ns,4035222.0
ecdh-P-384,keygen-wall-p99-ns,4059111.0
ecdh-P-384,keygen-wall-ci95lo-ns,4020776.7
ecdh-P-384,keygen-wall-ci95hi-ns,4022043.6
ecdh-P-384,keygen-cyc-median,217008.0
ecdh-P-384,keygen-cyc-mean,217147.9
ecdh-P-384,keygen-persec,248.8
ecdh-P-384,derive-iters,2000
ecdh-P-384,derive-wall-median-ns,3943777.0
ecdh-P-384,derive-wall-mean-ns,3944786.2
ecdh-P-384,derive-wall-std-ns,7121.2
ecdh-P-384,derive-wall-p95-ns,3951129.0
ecdh-P-384,derive-wall-p99-ns,3966666.0
